price	locate	disk	cpu	ip	memory	band
26.90	PISCATAWAY, NJ	15	2	1	3712	2000
24.45	LOS ANGELES, CA	30	2	1	3328	2000
36.93	BUFFALO, NY	10	1	1	8192	8000
24.18	BUFFALO, NY	15	2	1	2304	2000
37.41	CHICAGO, IL	40	3	1	2560	2000
15.17	CHICAGO, IL	10	1	1	640	500
22.45	LOS ANGELES, CA	50	2	1	2048	1000
22.45	LOS ANGELES, CA	30	2	1	3200	2000
24.18	ATLANTA, GA	15	3	1	2048	2000
19.00	BUFFALO, NY	10	2	1	1536	1000
28.16	CHICAGO, IL	25	2	1	1536	1500
21.46	BUFFALO, NY	15	2	1	1408	500
21.46	SEATTLE, WA	15	2	1	1536	1500
38.52	ATLANTA, GA	15	4	1	3072	3000
50.00	Los Angeles, CA	80	4	1	8144	2000
11.02	BUFFALO, NY	15	1	1	1024	500
36.90	BUFFALO, NY	15	4	1	2048	1000
23.67	LOS ANGELES, CA	10	3	1	1280	1000
69.00	SEATTLE, WA	85	3	1	11008	10500
25.90	LOS ANGELES, CA	15	3	1	2048	1000
21.46	DALLAS, TX	15	2	1	1920	1500
44.21	SEATTLE, WA	40	3	1	3456	3000
36.05	ATLANTA, GA	10	3	1	2432	2500
39.62	CHICAGO, IL	15	4	1	2944	2500
25.96	SEATTLE, WA	30	4	1	2048	1000
13.89	BUFFALO, NY	10	1	1	1408	1000
19.54	CHICAGO, IL	15	1	1	1536	1500
24.26	CHICAGO, IL	15	2	1	1024	1000
33.25	LOS ANGELES, CA	15	3	1	1280	1000
53.55	DALLAS, TX	85	3	1	2048	1000
53.55	DALLAS, TX	85	3	1	2048	1000
36.69	CHICAGO, IL	30	2	1	2176	2000
47.92	SEATTLE, WA	40	4	1	1024	500
64.24	SEATTLE, WA	65	3	1	5632	5500
43.20	BUFFALO, NY	15	4	1	1792	1000
18.67	BUFFALO, NY	15	1	1	2048	1000
41.38	LOS ANGELES, CA	15	4	1	1152	500
19.48	CHICAGO, IL	10	1	1	1024	250
26.33	BUFFALO, NY	15	2	1	1792	1500
48.64	BUFFALO, NY	10	3	1	5376	5000
51.24	PISCATAWAY, NJ	10	2	1	9472	9000
40.14	BUFFALO, NY	10	3	1	2304	2000
40.38	BUFFALO, NY	30	4	1	2944	2000
40.38	BUFFALO, NY	30	4	1	2944	2000
27.66	CHICAGO, IL	15	2	1	2176	2000
26.77	DALLAS, TX	15	2	1	1920	1500
20.67	BUFFALO, NY	15	1	1	2688	2500
36.93	DALLAS, TX	10	3	1	1152	1000
15.60	CHICAGO, IL	15	1	1	768	500
25.22	ATLANTA, GA	25	1	1	1024	1000
20.60	BUFFALO, NY	15	1	1	1792	1500
57.83	SEATTLE, WA	45	4	1	3968	4000
37.36	CHICAGO, IL	30	4	1	1920	1000
16.47	PISCATAWAY, NJ	15	1	1	1280	500
19.80	BUFFALO, NY	15	1	1	2048	1000
97.27	SEATTLE, WA	110	4	1	12288	12000
24.14	CHICAGO, IL	25	1	1	1152	1000
24.14	CHICAGO, IL	25	1	1	1152	1000
35.26	BUFFALO, NY	15	2	1	4992	4500
17.08	LOS ANGELES, CA	15	1	1	1408	1000
25.10	BUFFALO, NY	15	2	1	1280	500
43.29	DALLAS, TX	15	4	1	1792	1000
16.47	BUFFALO, NY	10	1	1	1664	1500
17.77	BUFFALO, NY	15	1	1	1664	1500
51.96	ATLANTA, GA	15	4	1	4992	3000
6.49	Buffalo, NY	10	1	1	768	1000
23.61	CHICAGO, IL	15	2	1	768	500
38.08	BUFFALO, NY	10	3	1	1664	1500
24.31	DALLAS, TX	15	2	1	1024	1000
25.10	LOS ANGELES, CA	15	2	1	1280	500
33.86	DALLAS, TX	15	3	1	1408	1000
13.33	Atlanta, GA	25	1	1	1024	1000
7.01	Los Angeles, CA	15	1	1	1024	500
80.00	Los Angeles, CA	125	4	1	12288	5000
50.00	Los Angeles, CA	80	4	1	8192	2000
29.98	Seattle, WA	80	8	1	2560	3000
6.22	Chicago, IL	30	1	1	768	500
24.46	LOS ANGELES, CA	35	1	1	768	500
6.74	BUFFALO, NY	5	1	1	512	500
17.50	LOS ANGELES, CA	5	5	1	5120	5000
42.96	DALLAS, TX	15	4	1	1664	1000
32.67	LOS ANGELES, CA	30	2	1	3072	1500
9.90	Buffalo, NY	15	1	1	384	1000
7.30	Buffalo, NY	10	1	1	256	500
45.59	BUFFALO, NY	15	4	1	2688	1500
41.93	BUFFALO, NY	10	3	1	3072	3000
56.67	BUFFALO, NY	15	4	1	6656	4000
44.81	BUFFALO, NY	15	4	1	2304	1500
21.25	ATLANTA, GA	15	1	1	2944	3000
47.87	BUFFALO, NY	30	4	1	5760	4000
47.87	BUFFALO, NY	30	4	1	5760	4000
37.97	LOS ANGELES, CA	15	3	1	2944	2500
60.00	Buffalo, NY	30	3	1	3144	6000
52.00	Los Angeles, CA	40	4	1	4096	4000
52.00	Los Angeles, CA	40	4	1	4096	4000
3.99	Los Angeles, CA	3	1	1	64	2000
30.00	Buffalo, NY	50	4	1	6144	20
30.00	Buffalo, NY	50	4	1	6144	20
9.00	Buffalo, NY	5	4	1	1024	100
6.99	Buffalo, NY	1	1	1	1024	1000
104.00	Los Angeles, CA	100	8	1	8192	6000
11.50	Los Angeles, CA	5	2	1	768	1000
44.70	BUFFALO, NY	15	4	1	2304	2000
44.06	LOS ANGELES, CA	15	4	1	1792	1000
18.09	BUFFALO, NY	15	1	1	1792	1000
26.42	DALLAS, TX	40	1	1	1664	1500
15.34	SEATTLE, WA	15	1	1	512	250
60.07	ATLANTA, GA	15	4	1	7936	5000
20.30	LOS ANGELES, CA	30	1	1	768	500
19.76	BUFFALO, NY	15	1	1	2432	2000
18.68	SEATTLE, WA	25	1	1	768	500
20.30	LOS ANGELES, CA	30	1	1	640	500
13.54	BUFFALO, NY	15	1	1	1664	1000
35.59	DALLAS, TX	15	3	1	1920	1500
28.37	LOS ANGELES, CA	10	2	1	1152	1000
11.61	BUFFALO, NY	10	1	1	1792	1500
19.14	ATLANTA, GA	15	2	1	2816	2500
24.00	BUFFALO, NY	30	2	1	3200	2000
15.34	CHICAGO, IL	25	1	1	896	500
15.98	PISCATAWAY, NJ	25	1	1	1024	1000
14.39	BUFFALO, NY	15	1	1	1152	1000
30.65	LOS ANGELES, CA	85	1	1	2176	2000
30.65	LOS ANGELES, CA	85	1	1	2176	2000
33.41	PISCATAWAY, NJ	30	2	1	7936	5500
33.41	PISCATAWAY, NJ	30	2	1	7936	5500
20.98	LOS ANGELES, CA	10	1	1	2560	2500
25.75	BUFFALO, NY	30	2	1	4096	3000
25.75	BUFFALO, NY	30	2	1	4096	3000
38.51	SEATTLE, WA	15	3	1	2048	2000
48.60	SEATTLE, WA	30	4	1	10496	7500
48.60	SEATTLE, WA	30	4	1	10496	7500
26.84	BUFFALO, NY	15	2	1	3712	3500
16.94	LOS ANGELES, CA	25	1	1	1152	1000
59.75	BUFFALO, NY	15	4	1	12288	12000
50.05	LOS ANGELES, CA	15	4	1	3328	3000
170.73	SEATTLE, WA	590	4	1	9216	6000
38.51	SEATTLE, WA	15	3	1	2048	2000
38.86	ATLANTA, GA	10	3	1	3840	3500
31.46	BUFFALO, NY	30	2	1	6912	5000
31.46	BUFFALO, NY	30	2	1	6912	5000
46.66	SEATTLE, WA	55	4	1	1664	1000
34.46	DALLAS, TX	10	3	1	1664	1500
22.24	LOS ANGELES, CA	35	1	1	640	500
24.16	BUFFALO, NY	15	1	1	3328	3000
41.01	BUFFALO, NY	15	4	1	3200	2000
53.23	LOS ANGELES, CA	15	4	1	9216	6000
33.06	BUFFALO, NY	15	2	1	6656	4000
55.37	PISCATAWAY, NJ	10	3	1	11776	11500
30.87	DALLAS, TX	15	3	1	1920	1500
46.61	SEATTLE, WA	35	4	1	3584	2000
29.18	CHICAGO, IL	30	2	1	5760	4000
24.47	LOS ANGELES, CA	15	2	1	2432	1500
25.88	LOS ANGELES, CA	10	2	1	1152	1000
44.64	BUFFALO, NY	15	3	1	8704	8500
45.06	BUFFALO, NY	10	3	1	7040	7000
21.47	DALLAS, TX	40	1	1	1792	1500
37.32	LOS ANGELES, CA	10	3	1	3072	3000
17.71	DALLAS, TX	20	1	1	896	500
31.28	BUFFALO, NY	55	1	1	1280	1000
20.01	BUFFALO, NY	10	1	1	2048	2000
22.53	SAN JOSE, CA	25	1	1	1152	1000
46.78	ATLANTA, GA	10	3	1	7936	7500
35.79	SEATTLE, WA	15	3	1	4352	2500
38.04	BUFFALO, NY	30	4	1	5120	3500
14.00	SEATTLE, WA	15	1	1	640	500
26.52	PISCATAWAY, NJ	15	1	1	7296	7000
19.77	BUFFALO, NY	10	1	1	1920	1500
15.48	BUFFALO, NY	10	1	1	2304	2000
21.27	BUFFALO, NY	30	1	1	512	500
41.99	ATLANTA, GA	15	4	1	3712	2000
29.62	LOS ANGELES, CA	15	3	1	1280	500
33.21	BUFFALO, NY	15	2	1	6784	6500
24.91	LOS ANGELES, CA	50	2	1	1408	1000
14.27	PISCATAWAY, NJ	10	1	1	1664	1500
32.98	DALLAS, TX	30	4	1	2688	1500
19.81	DALLAS, TX	40	1	1	1280	500
19.81	DALLAS, TX	40	1	1	1280	500
17.71	LOS ANGELES, CA	20	1	1	640	500
39.14	PISCATAWAY, NJ	55	1	1	9216	6000
15.43	SEATTLE, WA	25	1	1	640	500
55.16	BUFFALO, NY	10	3	1	11776	11500
49.57	SEATTLE, WA	35	4	1	4992	5000
49.57	SEATTLE, WA	35	4	1	4992	5000
19.98	DALLAS, TX	25	1	1	640	500
18.68	PISCATAWAY, NJ	25	1	1	768	500
15.14	BUFFALO, NY	15	1	1	1536	1000
50.83	BUFFALO, NY	15	4	1	8064	5000
35.99	PISCATAWAY, NJ	30	4	1	4096	3000
35.99	PISCATAWAY, NJ	30	4	1	4096	3000
38.72	PISCATAWAY, NJ	30	4	1	5504	4000
38.72	PISCATAWAY, NJ	30	4	1	5504	4000
19.95	DALLAS, TX	35	1	1	1664	1500
19.65	BUFFALO, NY	25	1	1	640	500
25.81	BUFFALO, NY	15	2	1	3200	3000
16.12	BUFFALO, NY	15	1	1	2048	2000
24.57	BUFFALO, NY	15	2	1	2560	2500
30.95	ATLANTA, GA	15	3	1	1920	1000
37.44	LOS ANGELES, CA	30	4	1	4864	3500
19.72	LOS ANGELES, CA	25	1	1	1024	1000
14.75	BUFFALO, NY	10	1	1	1920	1500
29.84	BUFFALO, NY	30	2	1	6144	4500
29.84	BUFFALO, NY	30	2	1	6144	4500
27.85	LOS ANGELES, CA	65	2	1	1280	500
16.63	LOS ANGELES, CA	15	1	1	2304	2000
36.20	DALLAS, TX	10	3	1	2560	2500
14.16	SEATTLE, WA	15	1	1	640	250
34.27	LOS ANGELES, CA	10	3	1	1536	1500
26.47	DALLAS, TX	10	2	1	1408	1000
38.46	BUFFALO, NY	15	3	1	2432	2000
83.42	SEATTLE, WA	160	4	1	9216	6000
39.03	PISCATAWAY, NJ	30	4	1	5632	4000
33.14	DALLAS, TX	75	2	1	3072	2000
33.14	DALLAS, TX	75	2	1	3072	2000
23.28	BUFFALO, NY	30	1	1	1152	1000
23.28	BUFFALO, NY	30	1	1	1152	1000
19.26	BUFFALO, NY	10	1	1	1664	1500
40.13	BUFFALO, NY	15	4	1	2688	2500
22.80	BUFFALO, NY	15	2	1	1664	1000
37.12	BUFFALO, NY	10	2	1	6656	6500
38.29	ATLANTA, GA	30	4	1	5248	3500
22.67	PISCATAWAY, NJ	15	1	1	5376	3500
25.41	BUFFALO, NY	15	2	1	2944	2500
25.57	BUFFALO, NY	50	2	1	1920	1000
22.39	BUFFALO, NY	30	2	1	2432	1500
22.39	BUFFALO, NY	30	2	1	2432	1500
44.37	SEATTLE, WA	55	3	1	2048	2000
44.37	SEATTLE, WA	55	3	1	2048	2000
35.46	CHICAGO, IL	30	3	1	2688	2500
51.17	DALLAS, TX	100	3	1	2944	1500
51.17	DALLAS, TX	100	3	1	2944	1500
30.71	DALLAS, TX	15	3	1	1792	1000
32.32	BUFFALO, NY	15	3	1	2560	1500
35.43	PISCATAWAY, NJ	15	2	1	7936	7500
25.29	BUFFALO, NY	35	1	1	1152	1000
25.29	BUFFALO, NY	35	1	1	1152	1000
17.38	LOS ANGELES, CA	35	1	1	640	500
28.56	LOS ANGELES, CA	10	2	1	2560	2500
39.26	DALLAS, TX	15	4	1	2304	1500
41.56	BUFFALO, NY	15	4	1	3456	3000
34.00	BUFFALO, NY	15	3	1	3456	3000
21.60	BUFFALO, NY	30	1	1	768	500
49.10	DALLAS, TX	100	2	1	3456	3500
16.28	LOS ANGELES, CA	25	1	1	768	500
19.17	LOS ANGELES, CA	10	1	1	1536	1500
59.96	ATLANTA, GA	15	4	1	12288	12000
31.28	PISCATAWAY, NJ	55	1	1	1920	1500
31.28	PISCATAWAY, NJ	55	1	1	1920	1500
16.66	BUFFALO, NY	30	1	1	640	500
23.94	LOS ANGELES, CA	15	2	1	2176	1000
76.23	PISCATAWAY, NJ	15	4	1	12288	12000
19.67	BUFFALO, NY	15	1	1	3840	3500
